只要,71
女孩儿,71
干净,71
接着,71
司棋,71
不提,71
当日,70
因见,70
地方,70
陪笑,70
无奈,70
也都,70
姑娘们,70
我是,70
有了,70
散了,70
觉得,70
我说,69
有个,69
屋子,69
里的,69
我想,69
把我,68
闻得,68
一样,68
这些人,68
吃茶,68
事情,68
别说,68
放在,67
炕上,67
姐儿,67
取了,67
告诉了,67
太监,67
士隐,66
却说,66
暂且,66
二十,66
时常,66
便命,66
睡了,66
死的,66
病了,66
恐怕,66
就好了,66
好些,66
一点,65
不免,65
未免,65
从此,65
小厮们,65
我才,65
错了,65
傍边,65
想了一想,65
打发人,65
且听,64
小姐,64
下了,64
穿着,64
大老爷,64
站在,64
规矩,64
因为,64
问你,63
拿来,63
日子,63
应了,63
慢慢的,63
问了,63
跑了,63
我还,63
湘莲,63
尚未,62
当下,62
叹道,62
仔细,62
就完了,62
也罢了,62
照应,62
不在家,62
你又,62
想到,62
刚才,62
有人,61
来至,61
第二,61
抱怨,61
不信,61
都笑,61
不要,61
嘱咐,61
一张,61
吓的,61
没人,61
了他,61
一块,60
究竟,60
竟不,60
闲话,60
门上,60
替我,60
站起来,60
兴儿,60
却也,59
回明,59
放了,59
不在话下,59
仍旧,59
何必,59
二则,59
去的,59
爷们,59
给了,59
你是,59
笑说,59
跪下,59
之意,58
却不,58
不想,58
换了,58
记得,58
一阵,58
还没,58
又命,58
冯紫英,58
各人,58
忽听,57
收了,57
里面,57
让他,57
他说,57
放下,57
正经,57
把那,57
做了,57
的时候,57
巧姐儿,57
之后,56
富贵,56
近日,56
可怜,56
一句话,56
两日,56
进了,56
只顾,56
总不,56
气的,56
俗语,56
陪着,56
写了,56
怡红院,56
贾环,56
包勇,56
天下,55
风流,55
荣府,55
公子,55
打点,55
人来,55
哭道,55
坏了,55
在家里,55
到这里,55
半天,55
告诉他,55
皆是,54
有趣,54
虽有,54
既是,54
这一,54
拿出,54
贾母等,54
笑着,54
又要,54
低头,54
商量,54
二姐,54
惟有,53
可知,53
或是,53
知他,53
上头,53
就走,53
怕他,53
真真,53
送去,53
利害,53
着急,53
只好,53
亦不,52
十二,52
须得,52
口内,52
一概,52
生日,52
儿子,52
三个,52
各色,52
丫鬟们,52
姊妹们,52
让我,52
一则,52
床上,52
琥珀,52
红了脸,52
自然是,52
这么大,52
几天,52
眼睛,52
一迳,52
磕头,52
了一遍,52
而已,51
喜的,51
或有,51
晚饭,51
房内,51
闹的,51
在一处,51
不自在,51
不住,51
或者,51
相干,51
果子,51
个小,51
命他,51
闹了,51
几年,50
伸手,50
不见,50
吓得,50
要紧,50
也不能,50
在这,50
骂道,50
之间,50
彩云,50
法儿,50
你要,50
仗着,50
也要,50
一顿,50
姨妈,50
赌气,50
代儒,50
替你,50
心内,50
众人都,50
娘娘,50
岫烟,50
眼泪,49
不禁,49
之物,49
仍是,49
不及,49
家去,49
勉强,49
便向,49
念书,49
拉了,49
胡说,49
岂知,49
并无,48
又向,48
亲友,48
遣人,48
告诉你,48
贾兰,48
受了,48
从前,48
若有,48
回了,48
他就,48
才说,48
得罪了,48
巧姐,48
一见,47
家中,47
更加,47
那日,47
他便,47
哭了,47
小的,47
嗳哟,47
逛逛,47
又叫,47
送到,47
衙门,47
从小儿,47
翠缕,47
元妃,47
第一,46
后面,46
睡去,46
指着,46
祖宗,46
一条,46
也不知,46
你不,46
好生,46
晚间,46
背地里,46
细细,46
几日,46
睡觉,46
出门,46
婶子,46
明白了,46
不中用,46
醒了,46
够了,46
照看,46
这事,46
这么着,46
空儿,46
这件事,46
扇子,46
而去,45
已是,45
迟了,45
吃的,45
舅舅,45
你别,45
文章,45
是他,45
动了,45
不大,45
除了,45
丰儿,45
说他,45
便问道,45
喝了,45
索性,45
王爷,45
我要,45
等都,45
他也,45
北静王,45
之处,44
反倒,44
上面,44
住着,44
彼此,44
帮着,44
早有,44
的是,44
退出,44
的手,44
送来,44
每人,44
未必,44
古人,44
近来,44
又不好,44
琏二,44
认真,44
侍书,44
是了,44
早起,44
使不得,44
一面又,44
并不是,44
园子,44
你还,44
答言,44
玉钏儿,44
二字,43
虽说,43
一位,43
嘴里,43
便要,43
想道,43
细细的,43
告诉我,43
作主,43
年轻,43
拿去,43
体面,43
放着,43
一点儿,43
花儿,43
交给,43
话儿,43
样呢,43
这也,43
贾瑞,43
门口,43
急忙,43
回身,43
婶婶,43
缘故,43
有事,42
再说,42
淘气,42
角门,42
他二人,42
把他,42
你说,42
又不敢,42
造化,42
了好些,42
你这,41
定要,41
辞了,41
渐渐的,41
端的,41
如此说,41
可惜,41
好歹,41
茶来,41
一语未了,41
桌上,41
偏生,41
房子,41
就有,41
去呢,41
留着,41
倒好,41
比不得,41
不管,41
四人,41
瞧了,41
添了,41
拍手,41
同着,41
操心,41
既这样,41
之时,40
一首,40
再者,40
门前,40
不可,40
针线,40
只当,40
偶然,40
阿弥陀佛,40
老婆,40
找了,40
急的,40
口里,40
也难,40
自去,40
金钏儿,40
儿的,40
师父,40
也好,40
故意,40
邢王二,40
我倒,40
件事,40
赶忙,40
又将,39
只因,39
还说,39
幸而,39
倒像,39
弟兄,39
疑惑,39
他去,39
你只,39
怨不得,39
姑妈,39
有一个,39
妥当,39
是我,39
在傍,39
一天,39
并没,39
可不,39
不在,39
打发人来,39
到那里,39
带领,39
这些话,39
看他,39
都笑了,39
倪二,39
必要,39
柳家的,39
也罢,38
使人,38
歇息,38
那些人,38
不妨,38
巴不得,38
无人,38
宁府,38
见过,38
照管,38
守着,38
想了,38
何曾,38
板儿,38
混说,38
法子,38
菩萨,38
才要,38
会意,38
名字,38
老人家,38
幸亏,38
梳洗,38
一辈子,38
口气,38
那里去,38
能够,38
作诗,38
颜色,38
环儿,38
张华,38
乃是,37
四字,37
之人,37
拿出来,37
一年,37
偏又,37
原不,37
进入,37
独有,37
梅花,37
顽笑,37
南边,37
更好,37
这般,37
妹子,37
但是,37
行事,37
倒要,37
跑到,37
你老人家,37
精神,37
等他,37
我只,37
就不,37
瞅着,37
诸事,37
执事,37
本来,37
众人都道,37
名儿,37
我这,36
所有的,36
夫妻,36
几句,36
聪明,36
你可,36
并没有,36
把你,36
而且,36
园内,36
待要,36
模样儿,36
站住,36
走至,36
这些事,36
赶来,36
当着,36
劝他,36
这会子又,36
即刻,36
婆婆,36
的心,36
不像,36
作的,36
轻轻的,36
使唤,36
小红,36
坠儿,36
三姑娘,36
病着,36
一遍,35
昨夜,35
等事,35
伤感,35
立刻,35
娶了,35
一路,35
忙忙的,35
扶着,35
抬头,35
上了,35
安歇,35
多心,35
让坐,35
这几年,35
他母亲,35
海棠,35
用的,35
了些,35
捧着,35
这么说,35
打开,35
必定,35
外人,35
搁在,35
很是,35
开门,35
哭的,35
糊涂了,35
倒了,35
尤三姐,35
秋桐,35
神仙,34
你去,34
何处,34
令人,34
院中,34
三人,34
便起身,34
也未可知,34
不便,34
做的,34
一样的,34
多了,34
且不,34
为的是,34
一应,34
在内,34
孙子,34
忙说,34
就该,34
那里去了,34
儿道,34
